PassiveSafety,1.alp,-1,-1,-1
PassiveSafety,100.alp,-1,-1,-1
PassiveSafety,11.alp,-1,-1,-1
PassiveSafety,12.alp,-1,-1,-1
PassiveSafety,121.alp,-1,-1,-1
PassiveSafety,122.alp,-1,-1,-1
PassiveSafety,123.alp,-1,-1,-1
PassiveSafety,124.alp,-1,-1,-1
PassiveSafety,125.alp,-1,-1,-1
PassiveSafety,126.alp,-1,-1,-1
PassiveSafety,127.alp,-1,-1,-1
PassiveSafety,13.alp,-1,-1,-1
PassiveSafety,14.alp,-1,-1,-1
PassiveSafety,143.alp,-1,-1,-1
PassiveSafety,145.alp,-1,-1,-1
PassiveSafety,146.alp,-1,-1,-1
PassiveSafety,15.alp,-1,-1,-1
PassiveSafety,150.alp,-1,-1,-1
PassiveSafety,151.alp,-1,-1,-1
PassiveSafety,154.alp,-1,-1,-1
PassiveSafety,155.alp,-1,-1,-1
PassiveSafety,159.alp,-1,-1,-1
PassiveSafety,16.alp,-1,-1,-1
PassiveSafety,160.alp,-1,-1,-1
PassiveSafety,17.alp,-1,-1,-1
PassiveSafety,3.alp,-1,-1,-1
PassiveSafety,33.alp,-1,-1,-1
PassiveSafety,38.alp,-1,-1,-1
PassiveSafety,39.alp,-1,-1,-1
PassiveSafety,43.alp,-1,-1,-1
PassiveSafety,44.alp,-1,-1,-1
PassiveSafety,46.alp,-1,-1,-1
PassiveSafety,47.alp,-1,-1,-1
PassiveSafety,5.alp,-1,-1,-1
PassiveSafety,51.alp,-1,-1,-1
PassiveSafety,52.alp,-1,-1,-1
PassiveSafety,54.alp,-1,-1,-1
PassiveSafety,55.alp,-1,-1,-1
PassiveSafety,56.alp,-1,-1,-1
PassiveSafety,57.alp,-1,-1,-1
PassiveSafety,60.alp,-1,-1,-1
PassiveSafety,61.alp,-1,-1,-1
PassiveSafety,62.alp,-1,-1,-1
PassiveSafety,63.alp,-1,-1,-1
PassiveSafety,67.alp,-1,-1,-1
PassiveSafety,68.alp,-1,-1,-1
PassiveSafety,69.alp,-1,-1,-1
PassiveSafety,7.alp,-1,-1,-1
PassiveSafety,70.alp,-1,-1,-1
PassiveSafety,73.alp,-1,-1,-1
PassiveSafety,74.alp,-1,-1,-1
PassiveSafety,75.alp,-1,-1,-1
PassiveSafety,76.alp,-1,-1,-1
PassiveSafety,78.alp,-1,-1,-1
PassiveSafety,79.alp,-1,-1,-1
PassiveSafety,80.alp,-1,-1,-1
PassiveSafety,81.alp,-1,-1,-1
PassiveSafety,82.alp,-1,-1,-1
PassiveSafety,83.alp,-1,-1,-1
PassiveSafety,84.alp,-1,-1,-1
PassiveSafety,9.alp,-1,-1,-1
